"sta_no" "year" "month" "day" "hour" "minutes" "temp" "precipitation" "pressure" "relative_humidity"
"106" 18397 2017 7 27 20 15 20.6 21.82 -9999 100
"107" 18397 2017 7 27 20 30 20.6 21.82 1005.1 100
"108" 18397 2017 7 27 20 45 20.5 21.82 1005.6 100
"109" 18397 2017 7 27 21 0 20.7 21.82 1005.5 100
"110" 18397 2017 7 27 21 15 20.8 21.82 1005.7 100
"111" 18397 2017 7 27 21 30 20.4 21.82 1005.6 100
"112" 18397 2017 7 27 21 45 20.4 21.82 1005.8 100
"113" 18397 2017 7 27 22 0 20.6 21.82 1005.8 100
"114" 18397 2017 7 27 22 15 20.5 21.82 1005.9 100
"115" 18397 2017 7 27 22 30 20.4 21.82 1006 100
"116" 18397 2017 7 27 22 45 20.5 21.82 1005.9 100
"117" 18397 2017 7 27 23 0 20.5 21.82 1005.9 100
"118" 18397 2017 7 27 23 15 20.6 21.82 1005.9 100
"119" 18397 2017 7 27 23 30 20.5 21.82 1006 100
"120" 18397 2017 7 27 23 45 20.5 21.82 1006 100
"121" 18397 2017 7 28 0 0 20.4 21.82 1006 100
